"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"          viper.silicon.rules.evaluator$.$anonfun$eval$1 (viper.silver.ast.Exp, int, scala.Function3, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","280 B (0%)","5 (0%)","5 (0%)","287.6","4"
"      viper.silicon.rules.stateConsolidator$.combineSnapshots (viper.silicon.supporters.functions.FunctionRecorder, viper.silicon.state.terms.Term, viper.silicon.state.terms.Term, viper.silicon.state.terms.Term, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","10’864 B (0.1%)","194 (0.1%)","194 (0%)","341.8","29"
"       viper.silicon.rules.stateConsolidator$.mergeChunks (viper.silicon.supporters.functions.FunctionRecorder, viper.silicon.interfaces.state.NonQuantifiedChunk, viper.silicon.interfaces.state.NonQuantifiedChunk, viper.silicon.verifier.Verifier)","10’864 B (0.1%)","194 (0.1%)","194 (0%)","341.8","29"
"        viper.silicon.rules.stateConsolidator$.$anonfun$singleMerge$1 (viper.silicon.verifier.Verifier, scala.Tuple4, viper.silicon.interfaces.state.NonQuantifiedChunk)","10’864 B (0.1%)","194 (0.1%)","194 (0%)","341.8","29"
"         viper.silicon.rules.stateConsolidator$$$Lambda$1633.1959055929.apply (Object, Object)","10’864 B (0.1%)","194 (0.1%)","194 (0%)","341.8","29"
"          scala.collection.LinearSeqOps.foldLeft (Object, scala.Function2)","10’864 B (0.1%)","194 (0.1%)","194 (0%)","341.8","29"
"      viper.silicon.rules.chunkSupporter$.$anonfun$consume$2 (scala.Function4, viper.silicon.state.State, viper.silicon.state.Heap, scala.Option, viper.silicon.verifier.Verifier)","56 B (0%)","1 (0%)","1 (0%)","359.0","1"
"       viper.silicon.rules.chunkSupporter$$$Lambda$2183.87069739.apply (Object, Object, Object, Object)","56 B (0%)","1 (0%)","1 (0%)","359.0","1"
"        viper.silicon.rules.executionFlowController$.$anonfun$tryOrFail2$3 (scala.Function4, viper.silicon.state.State, scala.Tuple2, viper.silicon.verifier.Verifier)","56 B (0%)","1 (0%)","1 (0%)","359.0","1"
"         viper.silicon.rules.executionFlowController$$$Lambda$1686.598010653.apply (Object, Object, Object)","56 B (0%)","1 (0%)","1 (0%)","359.0","1"
"     viper.silicon.decider.DefaultDeciderProvider$decider$.freshARP (String, viper.silicon.state.terms.Term)","43’624 B (0.4%)","779 (0.3%)","779 (0.2%)","339.6","52"
"      viper.silicon.rules.evaluator$.eval2 (viper.silicon.state.State, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function3)","43’624 B (0.4%)","779 (0.3%)","779 (0.2%)","339.6","52"
