"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"          viper.silicon.rules.evaluator$$$Lambda$1867.498999478.apply (Object, Object, Object)","48 B (0%)","1 (0%)","5 (0%)","611.0","1"
"     viper.silicon.state.utils.package$.recurse$1 (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","4’896 B (0%)","102 (0%)","237 (0%)","671.5","36"
"      viper.silicon.state.utils.package$.transform (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","4’896 B (0%)","102 (0%)","237 (0%)","671.5","36"
"       viper.silicon.state.utils.package$.go$1 (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","3’024 B (0%)","63 (0%)","152 (0%)","497.3","27"
"        viper.silicon.state.utils.package$.$anonfun$transform$5 (viper.silicon.state.utils.package., scala.PartialFunction, scala.Function1, scala.PartialFunction, viper.silicon.state.terms.Term)","2’736 B (0%)","57 (0%)","143 (0%)","459.3","25"
"         viper.silicon.state.utils.package$$$Lambda$1855.2094443676.apply (Object)","2’736 B (0%)","57 (0%)","143 (0%)","459.3","25"
"          scala.collection.immutable.ArraySeq.$anonfun$map$1 (scala.collection.immutable.ArraySeq, scala.Function1, int)","2’736 B (0%)","57 (0%)","143 (0%)","459.3","25"
"        viper.silicon.state.utils.package$.$anonfun$transform$4 (viper.silicon.state.utils.package., scala.PartialFunction, scala.Function1, scala.PartialFunction, viper.silicon.state.terms.Term)","192 B (0%)","4 (0%)","4 (0%)","874.5","2"
"         viper.silicon.state.utils.package$$$Lambda$1857.70111354.apply (Object)","192 B (0%)","4 (0%)","4 (0%)","874.5","2"
"          scala.collection.immutable.ArraySeq.$anonfun$map$1 (scala.collection.immutable.ArraySeq, scala.Function1, int)","192 B (0%)","4 (0%)","4 (0%)","874.5","2"
"        viper.silicon.state.utils.package$.recurse$1 (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","96 B (0%)","2 (0%)","5 (0%)","825.5","2"
"         viper.silicon.state.utils.package$.transform (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","96 B (0%)","2 (0%)","5 (0%)","825.5","2"
"          viper.silicon.state.utils.package$.go$1 (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","96 B (0%)","2 (0%)","5 (0%)","825.5","2"
"       viper.silicon.state.terms.Term.transform (scala.PartialFunction, scala.Function1, scala.PartialFunction)","1’872 B (0%)","39 (0%)","85 (0%)","953.0","9"
"        viper.silicon.state.terms.Term.transform$ (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","1’872 B (0%)","39 (0%)","85 (0%)","953.0","9"
"         viper.silicon.state.terms.Not.transform (scala.PartialFunction, scala.Function1, scala.PartialFunction)","1’872 B (0%)","39 (0%)","85 (0%)","953.0","9"
"viper.silicon.state.terms.AtMost","402’864 B (3.9%)","8’393 (3.7%)","28’830 (2.6%)","461.8","379"
" java.lang.Object.<init> ()","402’864 B (3.9%)","8’393 (3.7%)","28’830 (2.6%)","461.8","379"
"  viper.silicon.state.terms.AtMost.<init> (viper.silicon.state.terms.Term, viper.silicon.state.terms.Term)","402’864 B (3.9%)","8’393 (3.7%)","28’830 (2.6%)","461.8","379"
"   viper.silicon.state.terms.AtMost$._apply (viper.silicon.state.terms.Term, viper.silicon.state.terms.Term)","402’864 B (3.9%)","8’393 (3.7%)","28’830 (2.6%)","461.8","379"
"    viper.silicon.state.terms.AtMost$.apply (viper.silicon.state.terms.Term, viper.silicon.state.terms.Term)","402’864 B (3.9%)","8’393 (3.7%)","28’830 (2.6%)","461.8","379"
"     viper.silicon.state.terms.AtMost$.apply (Object, Object)","250’656 B (2.4%)","5’222 (2.3%)","22’752 (2.1%)","324.7","330"
"      viper.silicon.rules.evaluator$.$anonfun$evalBinOp$2 (scala.Function3, scala.Function2, viper.silicon.state.terms.Term, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","250’656 B (2.4%)","5’222 (2.3%)","22’752 (2.1%)","324.7","330"
"       viper.silicon.rules.evaluator$$$Lambda$1480.338006835.apply (Object, Object, Object)","250’656 B (2.4%)","5’222 (2.3%)","22’752 (2.1%)","324.7","330"
"        viper.silicon.rules.evaluator$.$anonfun$eval$1 (viper.silver.ast.Exp, int, scala.Function3, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","250’656 B (2.4%)","5’222 (2.3%)","22’752 (2.1%)","324.7","330"
"         viper.silicon.rules.evaluator$$$Lambda$1476.1019736796.apply (Object, Object, Object)","250’656 B (2.4%)","5’222 (2.3%)","22’752 (2.1%)","324.7","330"
"          viper.silicon.rules.evaluator$.$anonfun$eval3$3 (viper.silver.ast.Exp, viper.silicon.state.State, scala.Function3, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","250’656 B (2.4%)","5’222 (2.3%)","22’752 (2.1%)","324.7","330"
"     viper.silicon.state.utils.package$.recurse$1 (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","138’000 B (1.3%)","2’875 (1.3%)","5’482 (0.5%)","723.2","154"
"      viper.silicon.state.utils.package$.transform (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","138’000 B (1.3%)","2’875 (1.3%)","5’482 (0.5%)","723.2","154"
"       viper.silicon.state.utils.package$.go$1 (viper.silicon.state.terms.Term, scala.PartialFunction, scala.Function1, scala.PartialFunction)","138’000 B (1.3%)","2’875 (1.3%)","5’482 (0.5%)","723.2","154"
